,ticker,predict,real
2024-01-25,TDG,0.0003787430066748516,0.012273
2024-01-26,TDG,0.0003808410171934203,0.000148
2024-01-29,TDG,0.00013723005587678235,-0.004079
2024-01-30,TDG,2.4362752132994678e-05,0.004115
2024-01-02,ROL,0.00011661493978945952,-0.006658
2024-01-03,ROL,2.6508827504639238e-05,-0.024706
2024-01-04,ROL,0.0014988319139738995,0.009913
2024-01-05,ROL,0.001021775076153232,0.002818
2024-01-08,ROL,0.00018037120922909645,0.001636
2024-01-09,ROL,0.0002338311864321462,0.007016
2024-01-10,ROL,0.00012199753578676443,0.007447
2024-01-11,ROL,0.00038932669146813184,0.011068
2024-01-12,ROL,0.0005279896109670524,-0.005456
2024-01-16,ROL,0.00014143875588636,0.002755
2024-01-17,ROL,-2.855785361132409e-05,-0.002989
2024-01-18,ROL,0.0004934605261209978,0.00807
2024-01-19,ROL,0.0005290620804248978,0.004781
2024-01-22,ROL,-2.1922664093318962e-05,-0.002715
2024-01-23,ROL,-1.8160448931310284e-05,0.003176
2024-01-24,ROL,0.00011689776799011402,-0.021031
2024-01-25,ROL,0.0012038516634932568,-0.009215
2024-01-26,ROL,0.0010959848813125344,0.002784
2024-01-29,ROL,0.00039877014517792725,0.000463
2024-01-30,ROL,0.0001947224320769619,0.005541
2024-01-02,PWR,-0.00011736776294321104,-0.020226
2024-01-03,PWR,0.0005094304348211081,-0.011272
2024-01-04,PWR,-0.00037592974026387494,-0.00433
2024-01-05,PWR,-0.000541204933643642,-0.001955
2024-01-08,PWR,-0.0007855848571901602,0.0326
2024-01-09,PWR,0.002592256090724477,0.002357
2024-01-10,PWR,0.0005532480591774587,-0.000638
2024-01-11,PWR,-0.0004917954576693508,-0.007159
2024-01-12,PWR,0.0006504664739572656,-0.005941
2024-01-16,PWR,6.027644396225728e-05,0.00209
2024-01-17,PWR,6.540022786338733e-05,0.005526
2024-01-18,PWR,0.0005478312543871208,0.00318
2024-01-19,PWR,0.0005408481559104756,-0.002808
2024-01-22,PWR,0.00020524541079649025,0.001132
2024-01-23,PWR,-1.765604801548162e-05,-0.043529
2024-01-24,PWR,0.004858109595615764,-0.015284
2024-01-25,PWR,0.0010595064669613394,0.011753
2024-01-26,PWR,-0.0018144154573580277,-0.010585
2024-01-29,PWR,-2.0923121471894185e-05,0.005408
2024-01-30,PWR,0.0001393143497053961,0.0053
2024-01-02,HII,2.9892368302916618e-05,0.003976
2024-01-03,HII,6.831681509825456e-05,-0.014231
2024-01-04,HII,0.00025529674950546254,-0.004698
2024-01-05,HII,0.0007128038244014731,-0.009415
2024-01-08,HII,2.4050396231652464e-05,0.018019
2024-01-09,HII,0.0004441408514634406,-0.003816
2024-01-10,HII,3.4109759172413555e-06,-0.001185
2024-01-11,HII,0.00048633621110766534,-0.00654
2024-01-12,HII,0.0004962353206339322,0.005567
2024-01-16,HII,0.00014506836171455993,0.004764
2024-01-17,HII,-7.315497890372273e-05,0.004494
2024-01-18,HII,0.0005097636611268261,0.017719
2024-01-19,HII,0.0005714378095664935,-0.01884
2024-01-22,HII,-0.0005396164973492754,-0.001322
2024-01-23,HII,0.0006248707313060755,-0.004592
2024-01-24,HII,0.000304798699930343,-0.009219
2024-01-25,HII,0.0004743806545409605,0.000944
2024-01-26,HII,0.0005695457978618198,0.000705
2024-01-29,HII,0.0002076230718805381,0.008817
2024-01-30,HII,3.2640578706004672e-06,0.00669
2024-01-02,OTIS,0.0001438444836433924,0.000566
2024-01-03,OTIS,0.00017146769316026258,-0.005672
2024-01-04,OTIS,0.00018891187057286986,-0.00341
2024-01-05,OTIS,0.0004933055236974318,0.000229
2024-01-08,OTIS,0.0002322917138773042,0.000343
2024-01-09,OTIS,0.00016792940131011357,-0.001264
2024-01-10,OTIS,0.00016359273058489141,0.003808
2024-01-11,OTIS,0.0005994998282285181,-0.010115
2024-01-12,OTIS,0.00043419915885100637,-0.003583
2024-01-16,OTIS,0.00032166935303709713,0.009906
2024-01-17,OTIS,0.0006006223160914079,-0.005007
2024-01-18,OTIS,0.00042090772861699116,0.015886
2024-01-19,OTIS,0.000986517740028844,0.007344
2024-01-22,OTIS,-9.050925003451766e-05,-0.000909
2024-01-23,OTIS,4.2184259646959445e-05,-0.00034
2024-01-24,OTIS,-0.00020131621588589667,-0.010011
2024-01-25,OTIS,0.00028706704771707097,0.001914
2024-01-26,OTIS,0.0004989572623215644,-0.005275
2024-01-29,OTIS,5.5612299662027284e-05,0.011322
2024-01-30,OTIS,0.0002112736359680392,0.009421
2024-01-02,DAY,0.00020636192090109197,-0.003622
2024-01-03,DAY,0.00019605561696304225,-0.02212
2024-01-04,DAY,-8.10131833767173e-05,0.005518
2024-01-05,DAY,0.0010635563862025402,-0.004885
2024-01-08,DAY,-0.0001502231720113583,0.038803
2024-01-09,DAY,0.002690331883558002,0.012139
2024-01-10,DAY,-5.83817248526136e-05,-0.017
2024-01-11,DAY,0.000414853068876667,-0.007268
2024-01-12,DAY,0.0010147370212039277,0.001533
2024-01-16,DAY,3.0841525867192746e-05,0.013463
2024-01-17,DAY,0.0016084433386902909,0.000924
2024-01-18,DAY,0.0005118667753497484,-0.001065
2024-01-19,DAY,0.0008616977184331519,0.003331
2024-01-22,DAY,-1.3719117771112004e-06,0.013903
2024-01-23,DAY,-3.5605412428493195e-05,0.023352
2024-01-24,DAY,-0.0006341034447529225,-0.021656
2024-01-25,DAY,-0.00035044396416255284,-0.009243
2024-01-26,DAY,0.001599083928698496,-0.0067
2024-01-29,DAY,0.0011428943094607376,0.02247
2024-01-30,DAY,-8.350643108403267e-05,0.009448
2024-01-02,AOS,-0.00012929626987835194,-0.003182
2024-01-03,AOS,0.00027661832942990866,-0.02671
2024-01-04,AOS,0.0031931638695773938,0.008384
2024-01-05,AOS,0.0010243189392284183,-0.000759
2024-01-08,AOS,0.0010246355825425746,0.0
2024-01-09,AOS,0.00023148174146919446,0.012684
2024-01-10,AOS,0.0007142625807343377,0.008016
2024-01-11,AOS,0.0004962178464542369,0.002237
2024-01-12,AOS,0.0005566366324757424,-0.001846
2024-01-16,AOS,0.00010321965613305695,0.005338
2024-01-17,AOS,2.2295577692192794e-05,-0.008906
2024-01-18,AOS,0.0005540355774099272,-0.002105
2024-01-19,AOS,0.000491904734013011,0.008069
2024-01-22,AOS,4.682996122182406e-06,0.00588
2024-01-23,AOS,8.572274084441807e-05,-0.002802
2024-01-24,AOS,0.00010490653195839141,-0.023106
2024-01-25,AOS,0.003626060286146679,0.004573
2024-01-26,AOS,0.0014455691499467135,-0.005163
2024-01-29,AOS,0.00043134247555044384,0.008647
2024-01-30,AOS,0.00012712293673856768,0.012189
2024-01-02,HWM,5.878172404962094e-05,-0.002043
2024-01-03,HWM,4.9940922572989506e-05,-0.015488
2024-01-04,HWM,0.0004323027549360652,-0.008296
2024-01-05,HWM,0.0007483058870948906,0.017004
2024-01-08,HWM,-0.0005536833901897963,0.010461
2024-01-09,HWM,0.0006357555599314713,0.000373
2024-01-10,HWM,0.00011819338148179014,0.010364
2024-01-11,HWM,0.0008168266821060155,-0.003053
2024-01-12,HWM,0.00031065566131640606,-0.002335
2024-01-16,HWM,-0.0002848488013450615,-0.028602
2024-01-17,HWM,0.0018288031386922898,0.005066
2024-01-18,HWM,0.0011512837827692053,0.022984
2024-01-19,HWM,0.0008477956092721628,0.008869
2024-01-22,HWM,1.9593604164388078e-05,0.004659
2024-01-23,HWM,-0.00020749702909312877,0.005882
2024-01-24,HWM,-0.00027094957873340916,-0.005999
2024-01-25,HWM,0.0004130600539965083,-0.018992
2024-01-26,HWM,0.0005999170526889454,-0.000901
2024-01-29,HWM,-2.118024930178007e-05,0.006677
2024-01-30,HWM,0.0001716072517676711,0.004126
2024-01-02,TT,0.0002784925830842973,-0.003396
2024-01-03,TT,0.000290961957209934,-0.01305
2024-01-04,TT,0.0006428779347908511,0.013488
2024-01-05,TT,0.0014830942641101967,0.000624
2024-01-08,TT,0.000433684867785467,0.009257
2024-01-09,TT,-4.278782353383224e-05,0.010665
2024-01-10,TT,-0.00029383122227198054,0.003592
2024-01-11,TT,0.00040863391437714685,-0.004573
2024-01-12,TT,0.0006282526696231814,-0.006498
2024-01-16,TT,-0.00018296787450011146,-0.000326
2024-01-17,TT,0.00015765559591453363,0.006672
2024-01-18,TT,0.0005704877045931463,0.008152
2024-01-19,TT,0.00039442651214620643,-0.000321
2024-01-22,TT,-1.246386577708716e-05,0.00802
2024-01-23,TT,-0.00019098872261245274,0.004763
2024-01-24,TT,-0.00023410183399902196,-0.013242
2024-01-25,TT,0.00030489202296751376,-0.003478
2024-01-26,TT,0.0009098945642584208,0.001393
2024-01-29,TT,0.00020221442028221508,0.011314
2024-01-30,TT,0.0004598546476779744,0.014564
2024-01-02,GWW,0.0002826326470554574,-0.010043
2024-01-03,GWW,-5.032287373093912e-05,-0.005275
2024-01-04,GWW,0.0003357911739851132,0.009364
2024-01-05,GWW,0.00029874829857499334,0.007172
2024-01-08,GWW,0.00034338429283898913,0.000889
2024-01-09,GWW,2.926452328878373e-05,0.012733
2024-01-10,GWW,0.00039888877897825486,0.006786
2024-01-11,GWW,0.00047126372670256664,0.007511
2024-01-12,GWW,0.0005025757573833378,-0.000131
2024-01-16,GWW,-7.990265537355705e-05,0.000405
2024-01-17,GWW,6.295076571649258e-05,0.001122
2024-01-18,GWW,0.0004873512456029445,0.013373
2024-01-19,GWW,0.0011456640799803908,-0.013473
2024-01-22,GWW,5.403862110956238e-05,0.009314
2024-01-23,GWW,0.0002236648425715809,-0.002688
2024-01-24,GWW,-0.00014325160258387096,-0.007394
2024-01-25,GWW,0.0005073122148656611,0.012009
2024-01-26,GWW,0.0008713759853367249,0.002008
2024-01-29,GWW,0.00011774666150181596,0.016677
2024-01-30,GWW,0.0002114006178015745,0.024309
2024-01-02,NDSN,6.310572788645222e-05,-0.013012
2024-01-03,NDSN,-0.00023289724944537294,-0.017687
2024-01-04,NDSN,0.0008910142334808269,-0.000676
2024-01-05,NDSN,0.0012033679937399069,-0.004584
2024-01-08,NDSN,0.0001687052960946983,0.011846
2024-01-09,NDSN,0.0007078121564105584,0.00076
2024-01-10,NDSN,0.00011807108983025505,0.002079
2024-01-11,NDSN,0.0004979740003017718,0.001639
2024-01-12,NDSN,0.0005535834976193577,-0.006985
2024-01-16,NDSN,0.00012739341440650673,0.00216
2024-01-17,NDSN,0.00018470302214909892,0.006577
2024-01-18,NDSN,0.0004498200387242334,0.005275
2024-01-19,NDSN,0.0005247152710285331,0.003445
2024-01-22,NDSN,0.00021266590563456288,-0.00063
2024-01-23,NDSN,8.814310554459926e-05,-0.005475
2024-01-24,NDSN,8.29686977763124e-05,-0.017571
2024-01-25,NDSN,0.00022951397372050986,0.000551
2024-01-26,NDSN,0.000751041824605408,-0.008765
2024-01-29,NDSN,0.000364833103618924,0.013513
2024-01-30,NDSN,0.0010763805132339946,0.015355
2024-01-02,NOC,3.283463572045934e-05,0.001918
2024-01-03,NOC,3.9515603336478166e-05,0.000927
2024-01-04,NOC,0.0006493466755968122,-0.019904
2024-01-05,NOC,0.0007742355882784753,-0.005987
2024-01-08,NOC,0.00019085748582303656,0.019806
2024-01-09,NOC,0.0009716006405619666,-0.006459
2024-01-10,NOC,0.00023888706234415362,-0.000106
2024-01-11,NOC,0.0009036997573058087,-0.011151
2024-01-12,NOC,0.0005288328551214038,0.02626
2024-01-16,NOC,-5.331210317084786e-05,-0.007477
2024-01-17,NOC,0.00013249171748655705,-0.007248
2024-01-18,NOC,-0.0002480425363713014,-0.001073
2024-01-19,NOC,0.0006094766951488743,-0.010287
2024-01-22,NOC,0.00021731390779153778,-0.005965
2024-01-23,NOC,0.00017063815203490274,0.002958
2024-01-24,NOC,0.00036119266152924196,-0.005786
2024-01-25,NOC,0.00041024709066350674,-0.026982
2024-01-26,NOC,0.0034864544158154224,0.005095
2024-01-29,NOC,0.002174863855992156,-0.003841
2024-01-30,NOC,0.0014596006916692513,0.001129
2024-01-02,PH,0.0005513703582012429,0.000283
2024-01-03,PH,-0.000505830568201381,-0.01303
2024-01-04,PH,0.0004725898462338052,0.000243
2024-01-05,PH,0.0006982054589077103,0.004362
2024-01-08,PH,0.0004938685396303297,0.007911
2024-01-09,PH,0.00015470529052094987,0.006114
2024-01-10,PH,9.938790346188011e-05,0.005697
2024-01-11,PH,0.0005192082353184266,0.000584
2024-01-12,PH,0.0005605682259442346,-0.010065
2024-01-16,PH,0.000248846077668073,0.00651
2024-01-17,PH,-4.425551789123531e-05,0.001999
2024-01-18,PH,0.0004055124307285791,0.016612
2024-01-19,PH,0.00080056841321491,0.006354
2024-01-22,PH,0.0001297002938260955,0.002817
2024-01-23,PH,3.33125345250306e-05,-0.013356
2024-01-24,PH,-0.0002855700560114567,-0.01498
2024-01-25,PH,0.0006808283184531145,0.000318
2024-01-26,PH,0.0013243307944684414,-0.003318
2024-01-29,PH,0.00013244082062945507,0.012129
2024-01-30,PH,0.00046480903497578887,0.006381
2024-01-02,SNA,0.00011663609207046418,0.004488
2024-01-03,SNA,0.0001567426417281325,-0.013532
2024-01-04,SNA,0.00047349709561425276,-0.003673
2024-01-05,SNA,0.0007217802720659792,0.000534
2024-01-08,SNA,0.00041012986567355407,0.004226
2024-01-09,SNA,7.166727720332803e-05,0.002784
2024-01-10,SNA,0.00018333941798118637,0.002555
2024-01-11,SNA,0.0005007654012681144,0.00449
2024-01-12,SNA,0.0006499243167618007,-0.007516
2024-01-16,SNA,0.00020553223066059536,0.007636
2024-01-17,SNA,-4.235948546887475e-05,-0.001129
2024-01-18,SNA,0.0004800485968212504,0.00515
2024-01-19,SNA,0.0005672247472657477,0.007268
2024-01-22,SNA,0.00010094022909163144,0.002672
2024-01-23,SNA,0.00016035555560606955,-0.004069
2024-01-24,SNA,9.97887284235989e-05,-0.013338
2024-01-25,SNA,0.0004773929917044407,-0.000416
2024-01-26,SNA,0.0008238892313115363,0.000587
2024-01-29,SNA,0.00026182496084235107,0.007804
2024-01-30,SNA,-0.00011906356321967598,0.011479
2024-01-02,VRSK,-6.442080934751163e-05,0.000673
2024-01-03,VRSK,0.0001439159935860209,-0.00613
2024-01-04,VRSK,0.0005298558133125536,0.00181
2024-01-05,VRSK,0.0006341145044598632,-0.017861
2024-01-08,VRSK,3.489122814753106e-05,-0.00103
2024-01-09,VRSK,-6.40813777756182e-05,0.012204
2024-01-10,VRSK,0.0010686994788606347,-0.005695
2024-01-11,VRSK,0.0003620487571723909,0.000128
2024-01-12,VRSK,0.0007037556029835008,0.004795
2024-01-16,VRSK,1.7084245383938413e-05,0.010358
2024-01-17,VRSK,0.000270980094830328,0.002627
2024-01-18,VRSK,0.0005675844006258221,0.005332
2024-01-19,VRSK,0.0006286875716061621,0.009629
2024-01-22,VRSK,7.162813332769066e-05,0.009244
